respondent_id,segment,role,building_type,num_buildings,total_gfa,primary_emirate,years_in_uae,monthly_bill_aed,bill_category,hvac_pct_of_bill,bill_change_3yr,summer_cooling_spike,monitor_manual,monitor_smart_meter,monitor_bms,monitor_iot,monitor_audit,monitor_none,realtime_visibility_score,energy_intensity_tracking,pain_high_cost,pain_old_hvac,pain_no_data,pain_occupancy,pain_wastage,pain_comfort,pain_maintenance,pain_compliance,hvac_satisfaction,strategy_awareness,sustainability_strategy,tariff_impact,stakeholder_pressure,tech_smart_meter,tech_iot_sensor,tech_auto_lighting,tech_bms,tech_air_quality,tech_ai_maintenance,tech_solar,tech_none,ai_openness,min_savings_threshold,feat_dashboard,feat_auto_hvac,feat_occupancy,feat_predictive,feat_air_quality,feat_carbon,feat_bms_integ,feat_mobile_app,feat_compliance,commercial_model,max_payback,wtp_aed_per_building,wtp_category,pilot_interest,ai_adoption_vision,adoption_class
11,Tech-Forward Operators,C-Suite Executive,Mixed-Use,50+,>500km²,Abu Dhabi,6-10 years,342000.0,100k-500k,56.6,Increased 5-20%,20-50%,0,0,1,0,1,0,7,Yes-systematic,1,0,1,1,1,0,1,0,4.0,Familiar,Plan to,Moderately impacted,6.0,1,1,0,1,0,0,0,0,5,5-10%,5,4,5,4,4,3.0,4,5,3,CAPEX,1-2yr,13782.236825279251,5k-15k,3,Premium/Grade-A only,Evaluator
12,Resistant Traditionalists,Property Owner,Retail/Mall,2-5,100k-500km²,Abu Dhabi,6-10 years,40000.0,20k-100k,80.5,Decreased>20%,51-100%,0,1,0,0,0,0,3,Yes-occasional,1,0,0,1,0,1,1,0,5.0,Familiar,Partial strategy,Minimal,4.0,1,0,0,0,0,0,0,1,2,>30%,3,2,2,2,1,1.0,3,1,2,CAPEX,>7yr,3004.9244891190433,2k-5k,2,Regulation-driven,Not Ready
13,Cost-Driven Laggards,Operations Manager,Industrial/Warehouse,1,20k-100km²,Abu Dhabi,>10 years,108000.0,100k-500k,83.3,Increased>20%,51-100%,0,1,0,0,0,0,4,Yes-occasional,1,0,0,0,0,0,1,1,4.0,Very familiar,In development,Significantly impacted,6.0,0,1,0,0,0,0,0,1,3,>30%,3,4,5,3,3,1.0,4,2,3,Savings-Sharing,1-2yr,6011.216467178355,5k-15k,3,Premium/Grade-A only,Evaluator
14,Cost-Driven Laggards,Sustainability Officer,Retail/Mall,2-5,5k-20km²,Dubai,>10 years,58000.0,20k-100k,88.8,Increased 5-20%,51-100%,1,1,0,0,0,0,4,No plans,0,0,0,0,1,0,1,0,2.0,Somewhat familiar,In development,Moderately impacted,7.0,0,0,0,1,0,0,0,1,2,21-30%,4,5,5,3,1,3.0,2,4,1,SaaS Subscription,3-5yr,7261.62838531419,5k-15k,3,Limited adoption,Evaluator
15,Cost-Driven Laggards,Other,Residential Tower,50+,5k-20km²,Abu Dhabi,<2 years,224000.0,100k-500k,79.5,Increased>20%,>100%,1,0,0,0,0,0,2,No plans,1,1,1,1,0,1,0,0,4.0,Not familiar,No plans,Significantly impacted,5.0,1,0,1,0,0,0,0,1,1,>30%,4,3,3,4,3,3.0,4,5,1,CAPEX,3-5yr,6520.650579892244,5k-15k,1,Regulation-driven,Not Ready
16,Early Majority Evaluators,Operations Manager,Commercial Office,6-15,5k-20km²,Abu Dhabi,6-10 years,89000.0,20k-100k,74.6,Stable,51-100%,0,1,1,0,1,0,5,Yes-occasional,1,1,1,0,1,0,1,0,3.0,Very familiar,Full strategy,No impact,7.0,0,0,0,1,1,0,0,0,3,11-20%,4,4,4,4,3,2.0,5,3,3,Savings-Sharing,5-7yr,13190.515357733468,5k-15k,4,Limited adoption,Evaluator
17,Resistant Traditionalists,Facilities Manager,Industrial/Warehouse,1,<5000m²,Abu Dhabi,2-5 years,5000.0,<20k,70.8,Increased 5-20%,20-50%,1,0,0,0,0,0,3,No plans,1,1,0,1,0,0,1,0,3.0,Somewhat familiar,Plan to,Moderately impacted,1.0,0,1,0,0,1,0,0,0,3,>30%,2,3,2,2,2,2.0,2,2,1,CAPEX,3-5yr,2150.680875132228,2k-5k,4,Premium/Grade-A only,Evaluator
18,Compliance-Led Adopters,Sustainability Officer,Commercial Office,50+,20k-100km²,Abu Dhabi,>10 years,442000.0,100k-500k,71.4,Increased 5-20%,51-100%,0,0,0,1,0,0,9,Yes-systematic,1,1,1,1,0,1,1,1,3.0,Familiar,Full strategy,Not sure,9.0,1,0,1,0,1,0,1,0,4,5-10%,4,4,3,4,4,5.0,5,5,5,SaaS Subscription,1-2yr,9661.119993956332,5k-15k,4,Standard across all,High-Intent Buyer
19,Early Majority Evaluators,Facilities Manager,Other,2-5,5k-20km²,RAK,<2 years,248000.0,100k-500k,82.0,Stable,51-100%,0,0,1,1,0,0,5,Yes-occasional,1,1,0,1,1,0,1,0,2.0,Familiar,Partial strategy,Minimal,4.0,0,0,0,1,0,0,1,0,3,21-30%,4,2,3,5,2,2.0,4,2,5,CAPEX,<1yr,7391.263453067443,5k-15k,2,Premium/Grade-A only,Evaluator
20,Cost-Driven Laggards,Operations Manager,Industrial/Warehouse,6-15,<5000m²,Abu Dhabi,6-10 years,8000.0,<20k,73.9,Increased>20%,>100%,1,0,0,0,0,0,4,No plans,1,1,1,0,1,1,1,0,2.0,Familiar,Partial strategy,Minimal,5.0,0,1,1,1,0,0,0,1,2,21-30%,4,3,5,4,4,3.0,1,3,3,Lease,1-2yr,6686.917423489189,5k-15k,3,Premium/Grade-A only,Evaluator
21,Cost-Driven Laggards,Property Owner,Industrial/Warehouse,2-5,5k-20km²,RAK,<2 years,243000.0,100k-500k,65.5,Increased 5-20%,51-100%,1,0,0,0,0,0,3,Plan to,1,1,0,1,1,0,1,0,2.0,Somewhat familiar,No plans,Moderately impacted,6.0,0,1,0,0,0,0,0,0,3,5-10%,5,5,5,5,2,3.0,4,2,1,Savings-Sharing,3-5yr,6230.1947009346295,5k-15k,3,Limited adoption,Evaluator
22,Cost-Driven Laggards,Property Owner,Hotel/Hospitality,1,<5000m²,Dubai,2-5 years,154000.0,100k-500k,77.1,Decreased>20%,>100%,1,0,0,0,0,1,3,No plans,1,1,1,1,1,0,1,0,2.0,Familiar,No plans,Significantly impacted,4.0,0,0,0,0,0,0,0,1,3,>30%,2,4,3,5,3,4.0,2,3,2,Savings-Sharing,5-7yr,5528.998627000069,5k-15k,4,Limited adoption,Evaluator
23,Early Majority Evaluators,C-Suite Executive,Hotel/Hospitality,1,<5000m²,Dubai,2-5 years,20000.0,<20k,76.1,Decreased>20%,20-50%,0,0,0,0,0,0,5,Yes-systematic,1,0,0,1,0,0,0,1,2.0,Somewhat familiar,Partial strategy,Moderately impacted,3.0,0,1,1,0,0,0,0,0,3,>30%,4,4,5,4,2,4.0,5,4,5,Lease,1-2yr,3769.7283392796485,2k-5k,3,Standard across all,Evaluator
24,Resistant Traditionalists,Hospitality Manager,Hotel/Hospitality,2-5,20k-100km²,Fujairah,<2 years,8000.0,<20k,75.5,Increased 5-20%,>100%,0,0,0,0,0,0,1,Yes-occasional,1,1,0,1,1,0,0,0,3.0,Somewhat familiar,No plans,Significantly impacted,3.0,0,0,1,0,0,0,0,1,3,21-30%,3,2,2,2,1,4.0,2,3,1,CAPEX,5-7yr,3812.994216129083,2k-5k,1,Limited adoption,Evaluator
25,Tech-Forward Operators,Facilities Manager,Commercial Office,1,100k-500km²,Dubai,>10 years,449000.0,100k-500k,60.6,Stable,<20%,0,1,0,0,0,0,6,Yes-occasional,1,0,1,1,1,0,0,1,3.0,Very familiar,Full strategy,Moderately impacted,7.0,1,1,0,1,1,0,0,0,5,11-20%,4,4,4,4,5,5.0,5,5,1,CAPEX,<1yr,16749.925236561154,15k-30k,3,Standard across all,Evaluator
26,Early Majority Evaluators,Hospitality Manager,Hotel/Hospitality,16-50,5k-20km²,Abu Dhabi,2-5 years,192000.0,100k-500k,60.9,Increased>20%,>100%,0,0,0,1,0,0,3,Yes-occasional,1,1,1,1,0,0,1,1,2.0,Somewhat familiar,Plan to,Significantly impacted,7.0,0,1,0,1,1,1,0,0,5,21-30%,3,3,3,4,5,,5,2,3,Managed Service,3-5yr,3471.0714554129568,2k-5k,3,Premium/Grade-A only,Evaluator
27,Resistant Traditionalists,Facilities Manager,Industrial/Warehouse,1,<5000m²,Ajman,>10 years,103000.0,100k-500k,79.0,Increased 5-20%,51-100%,1,0,0,0,0,0,3,Plan to,1,1,0,0,0,0,0,0,3.0,Not familiar,Plan to,Significantly impacted,1.0,0,0,0,0,0,0,0,1,3,Non-cost KPI,3,2,1,3,3,2.0,4,3,1,CAPEX,3-5yr,2606.991865662409,2k-5k,2,Premium/Grade-A only,Evaluator
28,Early Majority Evaluators,Operations Manager,Commercial Office,50+,100k-500km²,Abu Dhabi,<2 years,63000.0,20k-100k,72.0,Increased 5-20%,51-100%,0,1,1,0,0,0,5,Yes-occasional,0,0,1,0,1,1,1,1,2.0,Somewhat familiar,Partial strategy,Moderately impacted,7.0,0,0,1,1,0,0,1,1,4,21-30%,5,5,4,5,4,2.0,2,4,3,Savings-Sharing,3-5yr,3272.119222032247,2k-5k,4,Standard across all,High-Intent Buyer
29,Compliance-Led Adopters,Government Official,Mixed-Use,6-15,5k-20km²,Dubai,>10 years,353000.0,100k-500k,57.7,Increased>20%,20-50%,0,0,0,0,0,0,3,Yes-systematic,1,1,1,0,1,1,0,1,3.0,Very familiar,Partial strategy,Moderately impacted,8.0,0,0,1,1,0,0,0,0,3,21-30%,5,5,4,4,5,5.0,5,4,5,Managed Service,1-2yr,7459.810461794918,5k-15k,5,Standard across all,Evaluator
30,Resistant Traditionalists,Facilities Manager,Industrial/Warehouse,6-15,20k-100km²,Dubai,>10 years,30000.0,20k-100k,83.5,Stable,51-100%,1,0,0,0,0,0,3,No plans,1,0,0,0,0,1,0,0,3.0,Somewhat familiar,In development,Moderately impacted,5.0,0,1,0,0,0,0,0,0,1,5-10%,4,3,2,3,4,1.0,3,2,1,Savings-Sharing,Savings-Guaranteed,2412.7252278131846,2k-5k,1,Limited adoption,Not Ready
31,Tech-Forward Operators,Operations Manager,Commercial Office,6-15,100k-500km²,Dubai,6-10 years,5000.0,<20k,49.8,Increased 5-20%,51-100%,0,0,1,1,0,0,7,Yes-systematic,1,1,1,0,0,0,1,0,,Familiar,Partial strategy,Moderately impacted,9.0,1,1,1,1,1,0,1,0,5,11-20%,5,4,4,5,3,4.0,5,4,4,SaaS Subscription,5-7yr,11069.70804689021,5k-15k,5,Standard across all,High-Intent Buyer
32,Tech-Forward Operators,Sustainability Officer,Healthcare,50+,20k-100km²,RAK,>10 years,815000.0,500k-2M,55.0,Decreased>20%,>100%,0,1,1,1,0,0,6,Yes-occasional,1,1,1,1,1,0,1,0,3.0,Familiar,Full strategy,Minimal,4.0,1,1,0,1,0,1,1,0,5,21-30%,4,4,5,3,5,5.0,5,4,3,Savings-Sharing,5-7yr,10969.451715840229,5k-15k,5,Premium/Grade-A only,High-Intent Buyer
33,Cost-Driven Laggards,Hospitality Manager,Industrial/Warehouse,50+,5k-20km²,Abu Dhabi,2-5 years,50000.0,20k-100k,77.0,Decreased 5-20%,20-50%,0,0,0,0,0,0,3,Yes-occasional,0,1,0,1,1,0,1,0,3.0,Not familiar,Partial strategy,Significantly impacted,6.0,0,0,1,1,0,0,0,0,2,21-30%,3,2,5,3,3,3.0,3,3,2,Lease,3-5yr,10441.295411629166,5k-15k,2,Premium/Grade-A only,Not Ready
34,Early Majority Evaluators,Facilities Manager,Commercial Office,6-15,<5000m²,Dubai,6-10 years,115000.0,100k-500k,78.3,Increased 5-20%,>100%,0,0,0,0,0,0,5,Yes-systematic,1,0,1,0,1,0,1,1,3.0,Familiar,Full strategy,Significantly impacted,7.0,0,0,0,0,1,0,0,0,3,21-30%,4,4,4,5,5,3.0,4,5,5,CAPEX,1-2yr,6886.895167602637,5k-15k,4,Premium/Grade-A only,Evaluator
35,Resistant Traditionalists,Other,Hotel/Hospitality,2-5,5k-20km²,Dubai,>10 years,36000.0,20k-100k,72.9,Increased>20%,>100%,1,1,1,0,0,0,2,No plans,0,1,0,1,1,0,1,0,3.0,Very familiar,No plans,Significantly impacted,2.0,0,0,0,0,0,0,0,1,2,21-30%,3,2,4,2,3,1.0,2,2,2,CAPEX,5-7yr,1106.0172085837396,<2k,4,Limited adoption,Evaluator
36,Early Majority Evaluators,Sustainability Officer,Retail/Mall,6-15,20k-100km²,RAK,6-10 years,327000.0,100k-500k,72.5,Stable,>100%,1,1,1,0,0,0,7,No plans,1,1,0,0,1,1,1,1,4.0,Familiar,In development,Moderately impacted,8.0,0,1,1,1,0,0,1,1,3,11-20%,5,3,3,4,3,3.0,2,3,5,CAPEX,3-5yr,4378.491725307876,2k-5k,4,Standard across all,Evaluator
37,Compliance-Led Adopters,Sustainability Officer,Hotel/Hospitality,6-15,20k-100km²,Ajman,>10 years,524000.0,500k-2M,49.3,Decreased 5-20%,51-100%,0,0,1,1,0,0,6,Yes-occasional,1,1,1,1,0,0,0,1,4.0,Very familiar,In development,Minimal,9.0,1,0,0,0,1,1,1,0,5,21-30%,2,5,3,2,4,5.0,4,5,4,Savings-Sharing,1-2yr,1820.3667146164817,<2k,4,Standard across all,High-Intent Buyer
38,Early Majority Evaluators,Government Official,Residential Tower,16-50,5k-20km²,Dubai,2-5 years,48000.0,20k-100k,71.1,Increased 5-20%,>100%,0,0,0,0,1,0,6,Yes-occasional,0,0,1,0,1,0,0,0,2.0,Very familiar,In development,Significantly impacted,6.0,0,0,1,0,0,1,0,0,5,11-20%,5,5,2,5,3,3.0,5,5,3,Savings-Sharing,5-7yr,17618.0279450053,15k-30k,3,Standard across all,Evaluator
39,Tech-Forward Operators,C-Suite Executive,Hotel/Hospitality,16-50,20k-100km²,Dubai,>10 years,153000.0,100k-500k,70.1,Increased 5-20%,20-50%,0,0,1,0,0,0,7,Yes-systematic,1,1,1,0,0,0,0,0,3.0,Familiar,In development,Moderately impacted,6.0,1,1,1,1,1,1,1,0,4,11-20%,5,5,3,4,5,4.0,5,3,3,Lease,3-5yr,8297.530744737378,5k-15k,4,Premium/Grade-A only,High-Intent Buyer
40,Resistant Traditionalists,C-Suite Executive,Mixed-Use,1,20k-100km²,Sharjah,6-10 years,82000.0,20k-100k,56.1,Stable,20-50%,0,0,0,0,0,0,1,Plan to,1,0,1,1,0,0,1,0,,Very familiar,Plan to,Significantly impacted,2.0,0,1,1,0,0,0,0,0,1,11-20%,1,2,3,3,1,3.0,4,3,2,Lease,3-5yr,1978.1419178048168,<2k,2,Regulation-driven,Not Ready
41,Tech-Forward Operators,Government Official,Mixed-Use,6-15,20k-100km²,Abu Dhabi,>10 years,1903345.4120413056,500k-2M,64.9,Decreased 5-20%,51-100%,0,0,0,0,1,0,6,Plan to,1,0,1,1,1,1,0,1,3.0,Somewhat familiar,Full strategy,Moderately impacted,6.0,1,1,1,1,1,1,0,0,4,11-20%,3,5,5,5,5,3.0,4,3,3,Lease,3-5yr,12522.637315835826,5k-15k,4,Regulation-driven,High-Intent Buyer
42,Early Majority Evaluators,Sustainability Officer,Retail/Mall,6-15,20k-100km²,Dubai,>10 years,176000.0,100k-500k,66.1,Increased 5-20%,51-100%,0,1,1,0,0,0,4,Yes-systematic,1,1,1,1,0,0,1,1,4.0,Very familiar,In development,Moderately impacted,6.0,0,0,1,0,1,0,0,0,3,21-30%,5,4,4,5,3,2.0,4,5,4,Savings-Sharing,5-7yr,5134.97966756236,5k-15k,3,Premium/Grade-A only,Evaluator
43,Early Majority Evaluators,C-Suite Executive,Industrial/Warehouse,6-15,20k-100km²,Sharjah,>10 years,553333.1891742139,100k-500k,81.1,Stable,20-50%,1,0,1,0,0,0,5,Yes-systematic,0,0,1,1,0,1,1,0,4.0,Somewhat familiar,In development,Significantly impacted,9.0,1,0,0,0,1,0,0,0,4,21-30%,5,4,4,5,4,4.0,4,4,4,SaaS Subscription,<1yr,9452.094914923171,5k-15k,4,Standard across all,High-Intent Buyer
44,Compliance-Led Adopters,Property Owner,Residential Tower,6-15,20k-100km²,Sharjah,>10 years,220000.0,100k-500k,40.5,Increased>20%,<20%,0,0,0,1,0,0,9,Yes-occasional,1,1,1,0,1,0,0,1,5.0,Familiar,In development,Significantly impacted,10.0,0,1,0,1,1,0,1,0,4,11-20%,5,4,4,5,4,5.0,5,1,5,Lease,3-5yr,11744.922602162114,5k-15k,3,Limited adoption,Evaluator
45,Cost-Driven Laggards,C-Suite Executive,Residential Tower,50+,<5000m²,Abu Dhabi,<2 years,90000.0,20k-100k,67.4,Stable,>100%,0,1,0,0,0,0,4,No plans,1,1,0,0,1,0,1,0,4.0,Somewhat familiar,Partial strategy,No impact,6.0,1,0,0,0,0,0,0,0,3,11-20%,2,2,4,5,5,2.0,5,4,2,Savings-Sharing,3-5yr,8164.260668369135,5k-15k,5,Limited adoption,Evaluator
46,Tech-Forward Operators,Operations Manager,Commercial Office,16-50,5k-20km²,Abu Dhabi,6-10 years,956000.0,500k-2M,65.0,Decreased>20%,20-50%,0,1,0,1,1,0,7,Yes-systematic,1,1,1,0,1,0,0,0,3.0,Not familiar,Full strategy,Moderately impacted,8.0,1,1,1,1,1,1,0,0,5,11-20%,5,5,4,4,4,4.0,5,2,4,SaaS Subscription,1-2yr,3572.614457582149,2k-5k,3,Standard across all,Evaluator
47,Early Majority Evaluators,C-Suite Executive,Mixed-Use,2-5,100k-500km²,Dubai,2-5 years,5000.0,<20k,67.6,Increased 5-20%,20-50%,1,1,1,0,0,0,6,Plan to,1,0,1,1,0,1,1,1,2.0,Familiar,Partial strategy,Not sure,,1,1,1,0,1,0,0,0,3,5-10%,4,4,4,5,5,3.0,4,3,2,Lease,3-5yr,9178.376214369424,5k-15k,5,Limited adoption,Evaluator
48,Early Majority Evaluators,Government Official,Commercial Office,1,100k-500km²,Abu Dhabi,<2 years,1044464.8760109796,100k-500k,74.7,Stable,51-100%,0,1,1,0,0,0,8,Yes-occasional,1,0,1,0,0,1,0,1,2.0,Familiar,In development,Minimal,7.0,0,1,0,1,1,0,0,0,3,21-30%,5,3,3,4,5,3.0,4,5,3,SaaS Subscription,5-7yr,11137.640786017018,5k-15k,2,Premium/Grade-A only,Evaluator
49,Early Majority Evaluators,Sustainability Officer,Residential Tower,16-50,20k-100km²,Abu Dhabi,>10 years,143000.0,100k-500k,74.0,Stable,51-100%,0,0,0,0,0,0,5,Yes-systematic,1,0,0,1,1,0,1,1,3.0,Somewhat familiar,Partial strategy,Moderately impacted,5.0,0,1,0,0,0,1,1,0,5,11-20%,4,5,3,4,3,3.0,3,3,4,Lease,5-7yr,8129.549069405998,5k-15k,5,Regulation-driven,High-Intent Buyer
50,Cost-Driven Laggards,Property Owner,Residential Tower,2-5,20k-100km²,Abu Dhabi,2-5 years,158000.0,100k-500k,77.5,Increased 5-20%,20-50%,1,1,1,0,0,0,2,No plans,1,1,0,0,0,0,0,1,3.0,Not familiar,Plan to,Moderately impacted,6.0,0,0,0,0,0,0,0,0,2,>30%,4,5,3,4,2,2.0,4,4,3,Lease,1-2yr,2418.5192941107916,2k-5k,4,Limited adoption,Evaluator
51,Cost-Driven Laggards,Property Owner,Hotel/Hospitality,2-5,20k-100km²,Abu Dhabi,<2 years,144000.0,100k-500k,71.3,Stable,20-50%,1,0,0,0,0,0,4,No plans,1,1,1,0,0,1,0,0,3.0,Familiar,Partial strategy,Significantly impacted,6.0,0,1,0,0,0,0,0,0,2,11-20%,4,4,4,3,3,1.0,5,5,2,Savings-Sharing,<1yr,7155.25509987813,5k-15k,2,Limited adoption,Not Ready
52,Resistant Traditionalists,Facilities Manager,Mixed-Use,1,<5000m²,Abu Dhabi,>10 years,54000.0,20k-100k,73.9,Increased 5-20%,20-50%,1,0,0,0,0,0,3,No plans,1,0,1,0,1,1,1,0,3.0,Not familiar,Full strategy,Significantly impacted,4.0,0,0,0,0,0,0,0,1,2,>30%,3,2,3,1,2,1.0,3,1,3,SaaS Subscription,3-5yr,2963.713032374235,2k-5k,2,Standard across all,Not Ready
53,Resistant Traditionalists,Government Official,Government Facility,6-15,5k-20km²,Abu Dhabi,>10 years,65000.0,20k-100k,77.3,Increased 5-20%,51-100%,1,0,0,0,0,0,2,No plans,1,1,0,1,1,0,1,0,3.0,Very familiar,No plans,Significantly impacted,5.0,1,0,0,0,0,0,0,0,2,Non-cost KPI,3,3,3,1,1,2.0,3,1,2,Lease,5-7yr,4920.459895323682,2k-5k,2,Premium/Grade-A only,Not Ready
54,Tech-Forward Operators,C-Suite Executive,Commercial Office,50+,100k-500km²,Dubai,>10 years,349274.84601001773,100k-500k,65.3,Increased 5-20%,20-50%,0,0,0,1,0,0,8,Yes-systematic,1,1,0,0,1,1,1,0,2.0,Very familiar,Partial strategy,Significantly impacted,4.0,1,1,1,1,0,0,1,0,5,11-20%,4,4,5,4,4,4.0,5,4,4,Lease,1-2yr,16425.07736173711,15k-30k,5,Standard across all,High-Intent Buyer
55,Tech-Forward Operators,Government Official,Retail/Mall,6-15,>500km²,Dubai,6-10 years,172000.0,100k-500k,80.3,Increased 5-20%,20-50%,0,0,0,1,0,0,8,Yes-systematic,1,0,1,0,1,1,0,1,5.0,Familiar,Partial strategy,Minimal,7.0,1,0,1,1,1,1,0,0,5,11-20%,5,4,3,5,4,4.0,5,4,3,CAPEX,3-5yr,13660.337835529897,5k-15k,3,Standard across all,Evaluator
56,Early Majority Evaluators,Operations Manager,Hotel/Hospitality,6-15,5k-20km²,Dubai,>10 years,549555.9008568042,100k-500k,61.2,Increased 5-20%,51-100%,0,0,0,1,0,0,5,Plan to,1,1,1,0,0,0,1,1,5.0,Very familiar,In development,Moderately impacted,7.0,1,1,1,0,0,0,0,0,4,21-30%,3,5,5,5,4,4.0,4,4,4,SaaS Subscription,5-7yr,739.2936816912033,<2k,3,Standard across all,Evaluator
57,Compliance-Led Adopters,Government Official,Industrial/Warehouse,16-50,<5000m²,Abu Dhabi,>10 years,265000.0,100k-500k,65.3,Stable,>100%,0,0,0,0,0,0,7,Plan to,0,1,1,1,0,0,0,1,3.0,Very familiar,Full strategy,No impact,9.0,0,1,1,0,0,0,1,0,4,11-20%,5,5,5,5,3,5.0,3,5,5,SaaS Subscription,5-7yr,3197.7381986140776,15k-30k,4,Premium/Grade-A only,High-Intent Buyer
